state,county,lat,lon,population
GA,Habersham,34.5657,-83.5414,46031
GA,Hall,34.2694,-83.8476,203136
GA,Hancock,33.2548,-83.0132,8735
GA,Haralson,33.7607,-85.1847,29919
GA,Harris,32.6975,-84.8943,34668
GA,Hart,34.3555,-82.9650,25828
GA,Heard,33.3080,-85.1167,11412
GA,Henry,33.4703,-84.1746,240712
GA,Houston,32.5658,-83.6637,163633
GA,Irwin,31.6043,-83.2799,9666
GA,Jackson,34.1295,-83.5990,75907
GA,Jasper,33.3583,-83.7265,14588
GA,Jeff Davis,31.8478,-82.6003,14779
GA,Jefferson,33.0690,-82.4081,15709
GA,Jenkins,32.7899,-81.9472,8674
GA,Johnson,32.6994,-82.6845,9189
GA,Jones,32.9612,-83.5502,28347
GA,Lamar,33.0842,-84.1544,18500
GA,Lanier,31.0373,-83.0976,9877
GA,Laurens,32.5175,-82.9254,49570
GA,Lee,31.6806,-84.1771,33163
GA,Liberty,31.8288,-81.5777,65256
GA,Lincoln,33.7806,-82.4455,7690
GA,Long,31.7759,-81.7317,16168
GA,Lowndes,30.8603,-83.2814,118251
GA,Lumpkin,34.5245,-83.9882,33488
GA,Macon,32.3241,-84.0395,12082
GA,Madison,34.1013,-83.2403,30120
GA,Marion,32.3826,-84.5246,7498
GA,McDuffie,33.4596,-82.4687,21632
GA,McIntosh,31.4801,-81.4057,10975
GA,Meriwether,33.0166,-84.6754,20613
GA,Miller,31.1604,-84.7383,6000
GA,Mitchell,31.2182,-84.1712,21755
GA,Monroe,33.0370,-83.9091,27957
GA,Montgomery,32.1733,-82.5295,8610
GA,Morgan,33.6000,-83.4857,20097
GA,Murray,34.7817,-84.7916,39973
GA,Muscogee,32.4956,-84.9289,206922
GA,Newton,33.5706,-83.8980,112483
GA,Oconee,33.8770,-83.4641,41799
GA,Oglethorpe,33.9189,-83.1474,14825
GA,Paulding,33.9139,-84.8142,168661
GA,Peach,32.5891,-83.8228,27981
GA,Pickens,34.4558,-84.4360,33216
GA,Pierce,31.3130,-82.2424,19716
GA,Pike,33.1048,-84.3666,18889
GA,Polk,34.0109,-85.1746,42853
GA,Pulaski,32.2734,-83.4790,9855
GA,Putnam,33.3197,-83.3355,22047
GA,Quitman,31.8596,-85.0781,2235
GA,Rabun,34.8797,-83.4070,16883
GA,Randolph,31.7586,-84.7581,6425
GA,Richmond,33.4279,-82.0519,206607
GA,Rockdale,33.6421,-84.0192,93570
GA,Schley,32.2418,-84.3066,4547
GA,Screven,32.7222,-81.6298,14067
GA,Seminole,30.9679,-84.8667,9147
GA,Spalding,33.2589,-84.2716,67306
GA,Stephens,34.5584,-83.2897,26784
GA,Stewart,32.0686,-84.7580,5314
GA,Sumter,32.0614,-84.2224,29616
GA,Talbot,32.7007,-84.5830,5733
GA,Taliaferro,33.5690,-82.8861,1559
GA,Tattnall,32.0365,-82.0585,22842
GA,Taylor,32.5591,-84.2097,7816
GA,Telfair,32.0193,-82.8950,12477
GA,Terrell,31.7720,-84.4290,9185
GA,Thomas,30.8693,-83.9480,45798
GA,Tift,31.4551,-83.5139,41344
GA,Toombs,32.1855,-82.3687,27030
GA,Towns,34.9400,-83.7829,12493
GA,Treutlen,32.3873,-82.5892,6406
GA,Troup,33.0381,-85.0297,69426
GA,Turner,31.7028,-83.6383,9006
GA,Twiggs,32.7023,-83.4167,8022
GA,Union,34.8775,-84.0048,24632
GA,Upson,32.9072,-84.3253,27700
GA,Walker,34.8387,-85.2931,67654
GA,Walton,33.7960,-83.7853,96673
GA,Ware,31.2270,-82.3838,36251
GA,Warren,33.4067,-82.6616,5215
GA,Washington,32.9643,-82.7756,19988
GA,Wayne,31.6106,-81.9166,30144
GA,Webster,32.0525,-84.5618,2348
GA,Wheeler,32.1475,-82.7562,7471
GA,White,34.5996,-83.7437,28003
GA,Whitfield,34.7936,-84.9663,102864
GA,Wilcox,31.9755,-83.4092,8766
GA,Wilkes,33.7572,-82.7527,9565
GA,Wilkinson,32.8440,-83.2392,8877
GA,Worth,31.5453,-83.8592,20784
HI,Hawaii,19.6727,-155.4281,200629
HI,Honolulu,21.3715,-157.9172,1016508
HI,Kalawao,21.1896,-156.9821,82
HI,Kauai,22.0198,-159.4390,73298
HI,Maui,20.8629,-156.4920,164754
IA,Adair,41.3477,-94.4783,7496
IA,Adams,41.0072,-94.7088,3704
IA,Allamakee,43.2530,-91.4248,14061
IA,Appanoose,40.7413,-92.8647,12317
IA,Audubon,41.6759,-94.9254,5674
IA,Benton,42.0633,-92.0133,25575
IA,Black Hawk,42.4902,-92.3718,131144
IA,Boone,42.0262,-93.8922,26715
IA,Bremer,42.7403,-92.3807,24988
IA,Buchanan,42.4851,-91.9011,20565
IA,Buena Vista,42.6767,-95.1843,20823
IA,Butler,42.7016,-92.7583,14334
IA,Calhoun,42.3978,-94.6232,9927
IA,Carroll,42.0395,-94.8677,20760
IA,Cass,41.3665,-94.9777,13127
IA,Cedar,41.7560,-91.1404,18505
IA,Cerro Gordo,43.1352,-93.2461,43127
IA,Cherokee,42.7512,-95.5919,11658
IA,Chickasaw,43.0387,-92.3428,12012
IA,Clarke,41.0348,-93.7835,9748
IA,Clay,43.1274,-95.1593,16384
IA,Clayton,42.8607,-91.3211,17043
IA,Clinton,41.8521,-90.3412,46460
IA,Crawford,42.0267,-95.3574,16525
IA,Dallas,41.6307,-93.9005,99678
IA,Davis,40.7625,-92.4183,9110
IA,Decatur,40.7123,-93.8172,7645
IA,Delaware,42.4816,-91.3839,17488
IA,Des Moines,40.8353,-91.1433,38910
IA,Dickinson,43.3890,-95.1346,17703
IA,Dubuque,42.4932,-90.7622,99266
IA,Emmet,43.3960,-94.7583,9388
IA,Fayette,42.8215,-91.8557,19509
IA,Floyd,43.0752,-92.7514,15627
IA,Franklin,42.7546,-93.2393,10019
IA,Fremont,40.7537,-95.6168,6605
IA,Greene,42.0291,-94.3799,8771
IA,Grundy,42.3805,-92.7473,12329
IA,Guthrie,41.6658,-94.4277,10623
IA,Hamilton,42.4066,-93.7674,15039
IA,Hancock,43.0923,-93.7027,10795
IA,Hardin,42.4363,-93.2170,16878
IA,Harrison,41.6626,-95.8046,14582
IA,Henry,40.9780,-91.5369,20482
IA,Howard,43.3620,-92.2294,9469
IA,Humboldt,42.7466,-94.2166,9597
IA,Ida,42.3933,-95.5055,7005
IA,Iowa,41.7010,-92.0392,16662
IA,Jackson,42.1415,-90.5677,19485
IA,Jasper,41.6781,-93.0714,37813
IA,Jefferson,41.0126,-91.9659,15663
IA,Johnson,41.6836,-91.5613,152854
IA,Jones,42.1381,-91.2005,20646
IA,Keokuk,41.3244,-92.1752,10033
IA,Kossuth,43.1433,-94.2214,14828
IA,Lee,40.5607,-91.3971,33555
IA,Linn,42.0085,-91.6484,230299
IA,Louisa,41.2253,-91.2627,10837
IA,Lucas,41.0221,-93.3125,8634
IA,Lyon,43.3855,-96.2273,11934
IA,Madison,41.3487,-93.9868,16548
IA,Mahaska,41.3118,-92.6421,22190
IA,Marion,41.3573,-93.0417,33414
IA,Marshall,42.0304,-92.9382,40105
